0	0	3	1	4	(0.2041241452319315+0j)
0	0	3	2	3	(-0.408248290463863+0j)
0	0	4	1	3	(0.2041241452319315+0j)
0	1	3	0	4	(0.2041241452319315+0j)
0	1	4	0	3	(0.2041241452319315+0j)
0	2	3	0	3	(-0.408248290463863+0j)
0	3	0	3	2	(-0.408248290463863+0j)
0	3	0	4	1	(0.2041241452319315+0j)
0	3	1	4	0	(0.2041241452319315+0j)
0	3	2	3	0	(-0.408248290463863+0j)
0	4	0	3	1	(0.2041241452319315+0j)
0	4	1	3	0	(0.2041241452319315+0j)
1	0	3	2	4	(-0.2041241452319315+0j)
1	0	4	1	4	(0.408248290463863+0j)
1	0	4	2	3	(-0.2041241452319315+0j)
1	1	4	0	4	(0.408248290463863+0j)
1	2	3	0	4	(-0.2041241452319315+0j)
1	2	4	0	3	(-0.2041241452319315+0j)
1	3	0	4	2	(-0.2041241452319315+0j)
1	3	2	4	0	(-0.2041241452319315+0j)
1	4	0	3	2	(-0.2041241452319315+0j)
1	4	0	4	1	(0.408248290463863+0j)
1	4	1	4	0	(0.408248290463863+0j)
1	4	2	3	0	(-0.2041241452319315+0j)
0	0	1	3	4	(0.39433756729740643+0j)
0	0	2	3	3	(-0.10566243270259357+0j)
0	0	3	3	2	(-0.10566243270259357+0j)
0	0	4	3	1	(0.39433756729740643+0j)
0	1	0	4	3	(0.39433756729740643+0j)
0	1	3	4	0	(0.39433756729740643+0j)
0	2	0	3	3	(-0.10566243270259357+0j)
0	2	3	3	0	(-0.10566243270259357+0j)
0	3	0	2	3	(-0.10566243270259357+0j)
0	3	1	0	4	(0.39433756729740643+0j)
0	3	2	0	3	(-0.10566243270259357+0j)
0	3	3	0	2	(-0.10566243270259357+0j)
0	3	3	2	0	(-0.10566243270259357+0j)
0	3	4	0	1	(0.39433756729740643+0j)
0	4	0	1	3	(0.39433756729740643+0j)
0	4	3	1	0	(0.39433756729740643+0j)
1	0	1	4	4	(0.10566243270259357+0j)
1	0	2	4	3	(-0.39433756729740643+0j)
1	0	3	4	2	(-0.39433756729740643+0j)
1	0	4	4	1	(0.10566243270259357+0j)
1	1	0	4	4	(0.10566243270259357+0j)
1	1	4	4	0	(0.10566243270259357+0j)
1	2	0	3	4	(-0.39433756729740643+0j)
1	2	4	3	0	(-0.39433756729740643+0j)
1	3	0	2	4	(-0.39433756729740643+0j)
1	3	4	2	0	(-0.39433756729740643+0j)
1	4	0	1	4	(0.10566243270259357+0j)
1	4	1	0	4	(0.10566243270259357+0j)
1	4	2	0	3	(-0.39433756729740643+0j)
1	4	3	0	2	(-0.39433756729740643+0j)
1	4	4	0	1	(0.10566243270259357+0j)
1	4	4	1	0	(0.10566243270259357+0j)
0	0	1	4	3	(-0.28867513459481287+0j)
0	0	3	4	1	(-0.28867513459481287+0j)
0	1	0	3	4	(-0.28867513459481287+0j)
0	1	4	3	0	(-0.28867513459481287+0j)
0	3	0	1	4	(-0.28867513459481287+0j)
0	3	4	1	0	(-0.28867513459481287+0j)
0	4	1	0	3	(-0.28867513459481287+0j)
0	4	3	0	1	(-0.28867513459481287+0j)
1	0	2	3	4	(0.28867513459481287+0j)
1	0	4	3	2	(0.28867513459481287+0j)
1	2	0	4	3	(0.28867513459481287+0j)
1	2	3	4	0	(0.28867513459481287+0j)
1	3	2	0	4	(0.28867513459481287+0j)
1	3	4	0	2	(0.28867513459481287+0j)
1	4	0	2	3	(0.28867513459481287+0j)
1	4	3	2	0	(0.28867513459481287+0j)
0	0	1	3	2	0j
0	0	1	4	1	0j
0	0	2	3	1	0j
0	1	0	1	4	0j
0	1	0	2	3	0j
0	1	3	2	0	0j
0	1	4	1	0	0j
0	2	0	1	3	0j
0	2	3	1	0	0j
0	3	1	0	2	0j
0	3	2	0	1	0j
0	4	1	0	1	0j
1	0	1	4	2	0j
1	0	2	3	2	0j
1	0	2	4	1	0j
1	1	0	2	4	0j
1	1	4	2	0	0j
1	2	0	1	4	0j
1	2	0	2	3	0j
1	2	3	2	0	0j
1	2	4	1	0	0j
1	3	2	0	2	0j
1	4	1	0	2	0j
1	4	2	0	1	0j
0	0	1	1	4	0j
0	0	2	1	3	0j
0	0	3	1	2	0j
0	0	4	1	1	0j
0	1	0	4	1	0j
0	1	1	0	4	0j
0	1	1	4	0	0j
0	1	2	0	3	0j
0	1	3	0	2	0j
0	1	4	0	1	0j
0	2	0	3	1	0j
0	2	1	3	0	0j
0	3	0	2	1	0j
0	3	1	2	0	0j
0	4	0	1	1	0j
0	4	1	1	0	0j
1	0	1	2	4	0j
1	0	2	2	3	0j
1	0	3	2	2	0j
1	0	4	2	1	0j
1	1	0	4	2	0j
1	1	2	4	0	0j
1	2	0	3	2	0j
1	2	1	0	4	0j
1	2	2	0	3	0j
1	2	2	3	0	0j
1	2	3	0	2	0j
1	2	4	0	1	0j
1	3	0	2	2	0j
1	3	2	2	0	0j
1	4	0	1	2	0j
1	4	2	1	0	0j
0	0	1	2	3	0j
0	0	3	2	1	0j
0	1	0	3	2	0j
0	1	2	3	0	0j
0	2	1	0	3	0j
0	2	3	0	1	0j
0	3	0	1	2	0j
0	3	2	1	0	0j
1	0	2	1	4	0j
1	0	4	1	2	0j
1	1	2	0	4	0j
1	1	4	0	2	0j
1	2	0	4	1	0j
1	2	1	4	0	0j
1	4	0	2	1	0j
1	4	1	2	0	0j
